Income per operation: 0.9768407064625095, income: 9.4e-323, operation count: 31645, sucsessful operations percentage: 10.249, self_length: 5, after_length: 13, quantity: 3, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9768623853352931, income: 9.4e-323, operation count: 31675, sucsessful operations percentage: 10.58, self_length: 5, after_length: 13, quantity: 3, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9768991464260353, income: 9.4e-323, operation count: 31726, sucsessful operations percentage: 9.908, self_length: 5, after_length: 13, quantity: 3, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9769027441683388, income: 9.4e-323, operation count: 31731, sucsessful operations percentage: 10.357, self_length: 5, after_length: 13, quantity: 3, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9769637347917558, income: 9.4e-323, operation count: 31816, sucsessful operations percentage: 12.368, self_length: 5, after_length: 13, quantity: 4, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9769565761469107, income: 9.4e-323, operation count: 31806, sucsessful operations percentage: 12.75, self_length: 5, after_length: 13, quantity: 4, min_profit: 0, probability_edge: 0.98. 
Income per operation: 0.9769572922115927, income: 9.4e-323, operation count: 31807, sucsessful operations percentage: 12.233, self_length: 5, after_length: 13, quantity: 4, min_profit: 5e-05, probability_edge: 0.9. 
Income per operation: 0.9769408114571577, income: 9.4e-323, operation count: 31784, sucsessful operations percentage: 12.56, self_length: 5, after_length: 13, quantity: 4, min_profit: 5e-05, probability_edge: 0.98. 
Income per operation: 0.9770137210433529, income: 9.4e-323, operation count: 31886, sucsessful operations percentage: 12.2, self_length: 5, after_length: 13, quantity: 4, min_profit: 0.0001, probability_edge: 0.9. 
Income per operation: 0.9769994614055895, income: 9.4e-323, operation count: 31866, sucsessful operations percentage: 12.512, self_length: 5, after_length: 13, quantity: 4, min_profit: 0.0001, probability_edge: 0.98. 
Income per operation: 0.9769851840655969, income: 9.4e-323, operation count: 31846, sucsessful operations percentage: 13.538, self_length: 5, after_length: 13, quantity: 5, min_profit: 0, probability_edge: 0.9. 
Income per operation: 0.9769944663519072, income: 9.4e-323, operation count: 31859, sucsessful operations percentage: 13.816, self_length: 5, after_length: 13, quantity: 5, min_profit: 0, probability_edge: 0.98. 
